icd10_code,description,code_family,chapter,chronic,specificity,hcc_v28_code,hcc_v28_label
H52.213,"Irregular astigmatism, bilateral",H52,Diseases of the eye and adnexa,false,specified,,
H52.222,"Regular astigmatism, left eye",H52,Diseases of the eye and adnexa,false,specified,,
H52.229,"Regular astigmatism, unspecified eye",H52,Diseases of the eye and adnexa,false,unspecified,,
H52.32,Aniseikonia,H52,Diseases of the eye and adnexa,false,specified,,
H52.512,"Internal ophthalmoplegia (complete) (total), left eye",H52,Diseases of the eye and adnexa,false,specified,,
H52.519,"Internal ophthalmoplegia (complete) (total), unspecified eye",H52,Diseases of the eye and adnexa,false,unspecified,,
H52.6,Other disorders of refraction,H52,Diseases of the eye and adnexa,false,specified,,
H90.11,"Conductive hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side",H90,Diseases of the ear and mastoid process,false,specified,,
H90.2,"Conductive hearing loss, unspecified",H90,Diseases of the ear and mastoid process,false,unspecified,,
H90.3,"Sensorineural hearing loss, bilateral",H90,Diseases of the ear and mastoid process,false,specified,,
H90.41,"Sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side",H90,Diseases of the ear and mastoid process,false,specified,,
H90.42,"Sensorineural hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side",H90,Diseases of the ear and mastoid process,false,specified,,
H90.5,Unspecified sensorineural hearing loss,H90,Diseases of the ear and mastoid process,false,unspecified,,
H90.6,"Mixed conductive and sensorineural hearing loss, bilateral",H90,Diseases of the ear and mastoid process,false,specified,,
H90.72,"Mixed conductive and sensorineural hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side",H90,Diseases of the ear and mastoid process,false,specified,,
H90.8,"Mixed conductive and sensorineural hearing loss, unspecified",H90,Diseases of the ear and mastoid process,false,unspecified,,
H90.A11,"Conductive hearing loss, unilateral, right ear with restricted hearing on the contralateral side",H90,Diseases of the ear and mastoid process,false,specified,,
H90.A22,"Sensorineural hearing loss, unilateral, left ear, with restricted hearing on the contralateral side",H90,Diseases of the ear and mastoid process,false,specified,,
H90.A31,"Mixed conductive and sensorineural hearing loss, unilateral, right ear with restricted hearing on the contralateral side",H90,Diseases of the ear and mastoid process,false,specified,,
I09.0,Rheumatic myocarditis,I09,Diseases of the circulatory system,true,specified,226,"Heart Failure, Except End-Stage"
I09.1,"Rheumatic diseases of endocardium, valve unspecified",I09,Diseases of the circulatory system,true,unspecified,226,"Heart Failure, Except End-Stage"
I10,Essential (primary) hypertension,I10,Diseases of the circulatory system,false,specified,,
I11.0,Hypertensive heart disease with heart failure,I11,Diseases of the circulatory system,true,specified,226,"Heart Failure, Except End-Stage"
I11.9,Hypertensive heart disease without heart failure,I11,Diseases of the circulatory system,true,unspecified,226,"Heart Failure, Except End-Stage"
I12.9,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",I12,Diseases of the circulatory system,true,unspecified,329,"Chronic Kidney Disease, Moderate (Stage 3)"
I13.0,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",I13,Diseases of the circulatory system,true,unspecified,226,"Heart Failure, Except End-Stage"
I13.10,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",I13,Diseases of the circulatory system,true,unspecified,226,"Heart Failure, Except End-Stage"
I21.02,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,I21,Diseases of the circulatory system,true,specified,228,Acute Myocardial Infarction
I21.11,ST elevation (STEMI) myocardial infarction involving right coronary artery,I21,Diseases of the circulatory system,true,specified,228,Acute Myocardial Infarction
I21.21,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,I21,Diseases of the circulatory system,true,specified,228,Acute Myocardial Infarction
I21.4,Non-ST elevation (NSTEMI) myocardial infarction,I21,Diseases of the circulatory system,true,specified,228,Acute Myocardial Infarction
I21.9,"Acute myocardial infarction, unspecified",I21,Diseases of the circulatory system,true,unspecified,228,Acute Myocardial Infarction
I21.A1,Myocardial infarction type 2,I21,Diseases of the circulatory system,true,specified,228,Acute Myocardial Infarction
I21.A9,Other myocardial infarction type,I21,Diseases of the circulatory system,true,specified,228,Acute Myocardial Infarction
I21.B,Myocardial infarction with coronary microvascular dysfunction,I21,Diseases of the circulatory system,true,specified,228,Acute Myocardial Infarction
I22.1,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall,I22,Diseases of the circulatory system,true,specified,228,Acute Myocardial Infarction
I22.2,Subsequent non-ST elevation (NSTEMI) myocardial infarction,I22,Diseases of the circulatory system,true,specified,228,Acute Myocardial Infarction
I25.10,Atherosclerotic heart disease of native coronary artery without angina pectoris,I25,Diseases of the circulatory system,false,unspecified,,
I25.5,Ischemic cardiomyopathy,I25,Diseases of the circulatory system,true,specified,226,"Heart Failure, Except End-Stage"
I42.8,Other cardiomyopathies,I42,Diseases of the circulatory system,true,specified,226,"Heart Failure, Except End-Stage"
I44.0,"Atrioventricular block, first degree",I44,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I44.2,"Atrioventricular block, complete",I44,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I44.39,Other atrioventricular block,I44,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I44.4,Left anterior fascicular block,I44,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I44.5,Left posterior fascicular block,I44,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I44.60,Unspecified fascicular block,I44,Diseases of the circulatory system,true,unspecified,238,Specified Heart Arrhythmias
I44.69,Other fascicular block,I44,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I45.0,Right fascicular block,I45,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I45.2,Bifascicular block,I45,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I45.4,Nonspecific intraventricular block,I45,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I45.5,Other specified heart block,I45,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I45.6,Pre-excitation syndrome,I45,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I45.81,Long QT syndrome,I45,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I45.9,"Conduction disorder, unspecified",I45,Diseases of the circulatory system,true,unspecified,238,Specified Heart Arrhythmias
I47.0,Re-entry ventricular arrhythmia,I47,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I47.10,"Supraventricular tachycardia, unspecified",I47,Diseases of the circulatory system,true,unspecified,238,Specified Heart Arrhythmias
I47.11,"Inappropriate sinus tachycardia, so stated",I47,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I48.20,"Chronic atrial fibrillation, unspecified",I48,Diseases of the circulatory system,true,unspecified,238,Specified Heart Arrhythmias
I48.91,Unspecified atrial fibrillation,I48,Diseases of the circulatory system,true,unspecified,238,Specified Heart Arrhythmias
I49.02,Ventricular flutter,I49,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I49.1,Atrial premature depolarization,I49,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I49.3,Ventricular premature depolarization,I49,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I49.5,Sick sinus syndrome,I49,Diseases of the circulatory system,true,specified,238,Specified Heart Arrhythmias
I49.9,"Cardiac arrhythmia, unspecified",I49,Diseases of the circulatory system,true,unspecified,238,Specified Heart Arrhythmias
I50.1,"Left ventricular failure, unspecified",I50,Diseases of the circulatory system,true,unspecified,226,"Heart Failure, Except End-Stage"
I50.22,Chronic systolic (congestive) heart failure,I50,Diseases of the circulatory system,true,specified,226,"Heart Failure, Except End-Stage"
I50.31,Acute diastolic (congestive) heart failure,I50,Diseases of the circulatory system,true,specified,226,"Heart Failure, Except End-Stage"
I50.32,Chronic diastolic (congestive) heart failure,I50,Diseases of the circulatory system,true,specified,226,"Heart Failure, Except End-Stage"
I50.33,Acute on chronic diastolic (congestive) heart failure,I50,Diseases of the circulatory system,true,specified,226,"Heart Failure, Except End-Stage"
I50.42,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,I50,Diseases of the circulatory system,true,specified,226,"Heart Failure, Except End-Stage"
I50.812,Chronic right heart failure,I50,Diseases of the circulatory system,true,specified,224,"Heart Failure, End-Stage"
I50.9,"Heart failure, unspecified",I50,Diseases of the circulatory system,true,unspecified,226,"Heart Failure, Except End-Stage"
I60.00,Nontraumatic subarachnoid hemorrhage from unspecified carotid siphon and bifurcation,I60,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I60.12,Nontraumatic subarachnoid hemorrhage from left middle cerebral artery,I60,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I60.30,Nontraumatic subarachnoid hemorrhage from unspecified posterior communicating artery,I60,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I60.32,Nontraumatic subarachnoid hemorrhage from left posterior communicating artery,I60,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I60.50,Nontraumatic subarachnoid hemorrhage from unspecified vertebral artery,I60,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I60.51,Nontraumatic subarachnoid hemorrhage from right vertebral artery,I60,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I60.7,Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery,I60,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I60.8,Other nontraumatic subarachnoid hemorrhage,I60,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I60.9,"Nontraumatic subarachnoid hemorrhage, unspecified",I60,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I61.1,"Nontraumatic intracerebral hemorrhage in hemisphere, cortical",I61,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I61.2,"Nontraumatic intracerebral hemorrhage in hemisphere, unspecified",I61,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I61.3,Nontraumatic intracerebral hemorrhage in brain stem,I61,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I61.5,"Nontraumatic intracerebral hemorrhage, intraventricular",I61,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I61.6,"Nontraumatic intracerebral hemorrhage, multiple localized",I61,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I62.00,"Nontraumatic subdural hemorrhage, unspecified",I62,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I62.01,Nontraumatic acute subdural hemorrhage,I62,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I62.02,Nontraumatic subacute subdural hemorrhage,I62,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I62.9,"Nontraumatic intracranial hemorrhage, unspecified",I62,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.012,Cerebral infarction due to thrombosis of left vertebral artery,I63,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.013,Cerebral infarction due to thrombosis of bilateral vertebral arteries,I63,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.019,Cerebral infarction due to thrombosis of unspecified vertebral artery,I63,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.02,Cerebral infarction due to thrombosis of basilar artery,I63,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.10,Cerebral infarction due to embolism of unspecified precerebral artery,I63,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.111,Cerebral infarction due to embolism of right vertebral artery,I63,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.19,Cerebral infarction due to embolism of other precerebral artery,I63,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.211,Cerebral infarction due to unspecified occlusion or stenosis of right vertebral artery,I63,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.212,Cerebral infarction due to unspecified occlusion or stenosis of left vertebral artery,I63,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.219,Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral artery,I63,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.239,Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid artery,I63,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.341,Cerebral infarction due to thrombosis of right cerebellar artery,I63,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.343,Cerebral infarction due to thrombosis of bilateral cerebellar arteries,I63,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.349,Cerebral infarction due to thrombosis of unspecified cerebellar artery,I63,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.39,Cerebral infarction due to thrombosis of other cerebral artery,I63,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.40,Cerebral infarction due to embolism of unspecified cerebral artery,I63,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.429,Cerebral infarction due to embolism of unspecified anterior cerebral artery,I63,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.513,Cerebral infarction due to unspecified occlusion or stenosis of bilateral middle cerebral arteries,I63,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.59,Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery,I63,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I63.9,"Cerebral infarction, unspecified",I63,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I65.01,Occlusion and stenosis of right vertebral artery,I65,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I65.1,Occlusion and stenosis of basilar artery,I65,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I65.21,Occlusion and stenosis of right carotid artery,I65,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I65.29,Occlusion and stenosis of unspecified carotid artery,I65,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I65.8,Occlusion and stenosis of other precerebral arteries,I65,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I66.01,Occlusion and stenosis of right middle cerebral artery,I66,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I66.02,Occlusion and stenosis of left middle cerebral artery,I66,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I66.09,Occlusion and stenosis of unspecified middle cerebral artery,I66,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I66.19,Occlusion and stenosis of unspecified anterior cerebral artery,I66,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I66.3,Occlusion and stenosis of cerebellar arteries,I66,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I66.8,Occlusion and stenosis of other cerebral arteries,I66,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I67.0,"Dissection of cerebral arteries, nonruptured",I67,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I67.2,Cerebral atherosclerosis,I67,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I67.3,Progressive vascular leukoencephalopathy,I67,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I67.82,Cerebral ischemia,I67,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I67.83,Posterior reversible encephalopathy syndrome,I67,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I67.858,Other hereditary cerebrovascular disease,I67,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I67.89,Other cerebrovascular disease,I67,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I68.0,Cerebral amyloid angiopathy,I68,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.011,Memory deficit following nontraumatic subarachnoid hemorrhage,I69,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.018,Other symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage,I69,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.039,Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting unspecified side,I69,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.141,Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right dominant side,I69,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.259,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting unspecified side,I69,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.265,"Other paralytic syndrome following other nontraumatic intracranial hemorrhage, bilateral",I69,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.269,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting unspecified side,I69,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.312,Visuospatial deficit and spatial neglect following cerebral infarction,I69,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.321,Dysphasia following cerebral infarction,I69,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.353,Hemiplegia and hemiparesis following cerebral infarction affecting right non-dominant side,I69,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.354,Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side,I69,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.393,Ataxia following cerebral infarction,I69,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.822,Dysarthria following other cerebrovascular disease,I69,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.828,Other speech and language deficits following other cerebrovascular disease,I69,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.854,Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side,I69,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.862,Other paralytic syndrome following other cerebrovascular disease affecting left dominant side,I69,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.890,Apraxia following other cerebrovascular disease,I69,Diseases of the circulatory system,true,specified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.939,Monoplegia of upper limb following unspecified cerebrovascular disease affecting unspecified side,I69,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.941,Monoplegia of lower limb following unspecified cerebrovascular disease affecting right dominant side,I69,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I69.969,Other paralytic syndrome following unspecified cerebrovascular disease affecting unspecified side,I69,Diseases of the circulatory system,true,unspecified,254,"Cerebrovascular Disease, Except Hemorrhage or Aneurysm"
I70.0,Atherosclerosis of aorta,I70,Diseases of the circulatory system,true,specified,267,Vascular Disease with Complications
I70.229,"Atherosclerosis of native arteries of extremities with rest pain, unspecified extremity",I70,Diseases of the circulatory system,true,unspecified,233,Atherosclerosis of the Extremities with Ulceration or Gangrene
I70.299,"Other atherosclerosis of native arteries of extremities, unspecified extremity",I70,Diseases of the circulatory system,true,unspecified,233,Atherosclerosis of the Extremities with Ulceration or Gangrene
I70.302,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg",I70,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I70.313,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, bilateral legs",I70,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I70.391,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg",I70,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I70.402,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, left leg",I70,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I70.411,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, right leg",I70,Diseases of the circulatory system,true,specified,267,Vascular Disease with Complications
I70.431,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of thigh,I70,Diseases of the circulatory system,true,specified,267,Vascular Disease with Complications
I70.461,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, right leg",I70,Diseases of the circulatory system,true,specified,267,Vascular Disease with Complications
I70.509,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, unspecified extremity",I70,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I70.628,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, other extremity",I70,Diseases of the circulatory system,true,specified,267,Vascular Disease with Complications
I70.65,Atherosclerosis of nonbiological bypass graft(s) of other extremity with ulceration,I70,Diseases of the circulatory system,true,specified,267,Vascular Disease with Complications
I70.668,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, other extremity",I70,Diseases of the circulatory system,true,specified,267,Vascular Disease with Complications
I70.708,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, other extremity",I70,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I70.749,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of unspecified site,I70,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I70.90,Unspecified atherosclerosis,I70,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I70.91,Generalized atherosclerosis,I70,Diseases of the circulatory system,true,specified,267,Vascular Disease with Complications
I71.00,Dissection of unspecified site of aorta,I71,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I71.010,Dissection of ascending aorta,I71,Diseases of the circulatory system,true,specified,267,Vascular Disease with Complications
I71.011,Dissection of aortic arch,I71,Diseases of the circulatory system,true,specified,267,Vascular Disease with Complications
I71.012,Dissection of descending thoracic aorta,I71,Diseases of the circulatory system,true,specified,267,Vascular Disease with Complications
I71.019,"Dissection of thoracic aorta, unspecified",I71,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I71.10,"Thoracic aortic aneurysm, ruptured, unspecified",I71,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I71.12,"Aneurysm of the aortic arch, ruptured",I71,Diseases of the circulatory system,true,specified,267,Vascular Disease with Complications
I71.20,"Thoracic aortic aneurysm, without rupture, unspecified",I71,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I71.21,"Aneurysm of the ascending aorta, without rupture",I71,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I71.22,"Aneurysm of the aortic arch, without rupture",I71,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I71.33,"Infrarenal abdominal aortic aneurysm, ruptured",I71,Diseases of the circulatory system,true,specified,267,Vascular Disease with Complications
I71.43,"Infrarenal abdominal aortic aneurysm, without rupture",I71,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I71.51,"Supraceliac aneurysm of the thoracoabdominal aorta, ruptured",I71,Diseases of the circulatory system,true,specified,267,Vascular Disease with Complications
I71.60,"Thoracoabdominal aortic aneurysm, without rupture, unspecified",I71,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I71.61,"Supraceliac aneurysm of the thoracoabdominal aorta, without rupture",I71,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I71.9,"Aortic aneurysm of unspecified site, without rupture",I71,Diseases of the circulatory system,true,unspecified,267,Vascular Disease with Complications
I73.1,Thromboangiitis obliterans [Buerger's disease],I73,Diseases of the circulatory system,true,specified,268,Vascular Disease
I73.89,Other specified peripheral vascular diseases,I73,Diseases of the circulatory system,true,specified,268,Vascular Disease
I73.9,"Peripheral vascular disease, unspecified",I73,Diseases of the circulatory system,true,unspecified,268,Vascular Disease
I82.221,Chronic embolism and thrombosis of inferior vena cava,I82,Diseases of the circulatory system,true,specified,268,Vascular Disease
I82.291,Chronic embolism and thrombosis of other thoracic veins,I82,Diseases of the circulatory system,true,specified,268,Vascular Disease
I82.3,Embolism and thrombosis of renal vein,I82,Diseases of the circulatory system,true,specified,268,Vascular Disease
I82.403,"Acute embolism and thrombosis of unspecified deep veins of lower extremity, bilateral",I82,Diseases of the circulatory system,true,unspecified,268,Vascular Disease
I82.422,Acute embolism and thrombosis of left iliac vein,I82,Diseases of the circulatory system,true,specified,268,Vascular Disease
I82.491,Acute embolism and thrombosis of other specified deep vein of right lower extremity,I82,Diseases of the circulatory system,true,specified,268,Vascular Disease
I82.5Z2,Chronic embolism and thrombosis of unspecified deep veins of left distal lower extremity,I82,Diseases of the circulatory system,true,unspecified,268,Vascular Disease
I82.612,Acute embolism and thrombosis of superficial veins of left upper extremity,I82,Diseases of the circulatory system,true,specified,268,Vascular Disease
I82.619,Acute embolism and thrombosis of superficial veins of unspecified upper extremity,I82,Diseases of the circulatory system,true,unspecified,268,Vascular Disease
I82.621,Acute embolism and thrombosis of deep veins of right upper extremity,I82,Diseases of the circulatory system,true,specified,268,Vascular Disease
I82.629,Acute embolism and thrombosis of deep veins of unspecified upper extremity,I82,Diseases of the circulatory system,true,unspecified,268,Vascular Disease
