icd10_code,description,code_family,chapter,chronic,specificity,hcc_v28_code,hcc_v28_label
C79.10,Secondary malignant neoplasm of unspecified urinary organs,C79,Neoplasms,true,unspecified,17,Metastatic Cancer
C79.11,Secondary malignant neoplasm of bladder,C79,Neoplasms,true,specified,17,Metastatic Cancer
C79.19,Secondary malignant neoplasm of other urinary organs,C79,Neoplasms,true,specified,17,Metastatic Cancer
C79.2,Secondary malignant neoplasm of skin,C79,Neoplasms,true,specified,17,Metastatic Cancer
C79.49,Secondary malignant neoplasm of other parts of nervous system,C79,Neoplasms,true,specified,17,Metastatic Cancer
C79.51,Secondary malignant neoplasm of bone,C79,Neoplasms,true,specified,17,Metastatic Cancer
C79.61,Secondary malignant neoplasm of right ovary,C79,Neoplasms,true,specified,17,Metastatic Cancer
C79.62,Secondary malignant neoplasm of left ovary,C79,Neoplasms,true,specified,17,Metastatic Cancer
C79.70,Secondary malignant neoplasm of unspecified adrenal gland,C79,Neoplasms,true,unspecified,17,Metastatic Cancer
C79.72,Secondary malignant neoplasm of left adrenal gland,C79,Neoplasms,true,specified,17,Metastatic Cancer
C79.81,Secondary malignant neoplasm of breast,C79,Neoplasms,true,specified,17,Metastatic Cancer
C80.2,Malignant neoplasm associated with transplanted organ,C80,Neoplasms,true,specified,17,Metastatic Cancer
C90.00,Multiple myeloma not having achieved remission,C90,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C90.01,Multiple myeloma in remission,C90,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C90.11,Plasma cell leukemia in remission,C90,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C90.22,Extramedullary plasmacytoma in relapse,C90,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C90.32,Solitary plasmacytoma in relapse,C90,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C91.30,Prolymphocytic leukemia of B-cell type not having achieved remission,C91,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C91.32,"Prolymphocytic leukemia of B-cell type, in relapse",C91,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C91.50,Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission,C91,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C91.62,"Prolymphocytic leukemia of T-cell type, in relapse",C91,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
